temp (C),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:top_tt,ifxbasic.scs:nom" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:top_ss,ifxbasic.scs:nom,allFunc.scs" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:top_ff,ifxbasic.scs:nom,allFunc.scs" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_ss,toplevel.scs:dio_ss,toplevel.scs:res_ff,toplevel.scs:cap_ff,toplevel.scs:bjt_ss" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_ff,toplevel.scs:dio_ff,toplevel.scs:res_ss,toplevel.scs:cap_ss,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_sf,toplevel.scs:dio_sf,toplevel.scs:res_ss,toplevel.scs:cap_ss,toplevel.scs:bjt_ss" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_sf,toplevel.scs:dio_sf,toplevel.scs:res_ff,toplevel.scs:cap_ff,toplevel.scs:bjt_ss" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_fs,toplevel.scs:dio_fs,toplevel.scs:res_ss,toplevel.scs:cap_ss,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_fs,toplevel.scs:dio_fs,toplevel.scs:res_ff,toplevel.scs:cap_ff,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_ff,toplevel.scs:dio_ff,toplevel.scs:res_ff,toplevel.scs:cap_ss,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_fs,toplevel.scs:dio_fs,toplevel.scs:res_ff,toplevel.scs:cap_ss,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_sf,toplevel.scs:dio_sf,toplevel.scs:res_ff,toplevel.scs:cap_ss,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_ss,toplevel.scs:dio_ss,toplevel.scs:res_ff,toplevel.scs:cap_ss,toplevel.scs:bjt_ss" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_ff,toplevel.scs:dio_ff,toplevel.scs:res_ss,toplevel.scs:cap_ff,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_fs,toplevel.scs:dio_fs,toplevel.scs:res_ss,toplevel.scs:cap_ff,toplevel.scs:bjt_ff" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_sf,toplevel.scs:dio_sf,toplevel.scs:res_ss,toplevel.scs:cap_ff,toplevel.scs:bjt_ss" ) (V),leafValue( VS("/vref_out") "modelFiles" "toplevel.scs:mos_ss,toplevel.scs:dio_ss,toplevel.scs:res_ss,toplevel.scs:cap_ff,toplevel.scs:bjt_ss" ) (V)
-45.00,1.171,1.176,1.170,1.176,1.174,1.177,1.177,1.174,1.170,1.170,1.170,1.173,1.176,1.174,1.174,1.177,1.176
-40.00,1.171,1.176,1.170,1.176,1.174,1.176,1.177,1.174,1.170,1.170,1.170,1.173,1.176,1.174,1.174,1.176,1.176
-35.00,1.171,1.176,1.170,1.176,1.174,1.176,1.177,1.174,1.170,1.170,1.170,1.173,1.176,1.174,1.174,1.176,1.176
-30.00,1.171,1.176,1.170,1.176,1.174,1.176,1.177,1.174,1.170,1.170,1.170,1.173,1.176,1.174,1.174,1.176,1.176
-25.00,1.171,1.176,1.170,1.176,1.174,1.176,1.177,1.174,1.170,1.170,1.170,1.172,1.176,1.174,1.174,1.176,1.176
-20.00,1.171,1.176,1.170,1.176,1.174,1.176,1.177,1.174,1.170,1.170,1.170,1.172,1.176,1.174,1.174,1.176,1.176
-15.00,1.170,1.175,1.170,1.176,1.174,1.176,1.177,1.173,1.170,1.170,1.170,1.172,1.176,1.174,1.173,1.176,1.175
-10.00,1.170,1.175,1.170,1.176,1.173,1.175,1.177,1.173,1.170,1.170,1.170,1.172,1.176,1.173,1.173,1.175,1.175
-5.000,1.170,1.175,1.170,1.176,1.173,1.175,1.177,1.173,1.170,1.170,1.170,1.172,1.176,1.173,1.173,1.175,1.175
0.000,1.170,1.175,1.170,1.176,1.173,1.175,1.177,1.173,1.170,1.170,1.170,1.172,1.176,1.173,1.173,1.175,1.175
5.000,1.170,1.175,1.170,1.177,1.173,1.175,1.177,1.172,1.170,1.170,1.170,1.172,1.177,1.173,1.172,1.175,1.175
10.00,1.170,1.174,1.170,1.177,1.172,1.175,1.177,1.172,1.170,1.170,1.170,1.172,1.177,1.172,1.172,1.175,1.174
15.00,1.170,1.174,1.170,1.177,1.172,1.174,1.177,1.172,1.170,1.170,1.170,1.172,1.177,1.172,1.172,1.174,1.174
20.00,1.169,1.174,1.170,1.177,1.172,1.174,1.177,1.172,1.170,1.170,1.170,1.172,1.177,1.172,1.172,1.174,1.174
25.00,1.169,1.173,1.170,1.177,1.171,1.174,1.177,1.171,1.170,1.170,1.170,1.171,1.177,1.171,1.171,1.174,1.173
30.00,1.169,1.173,1.170,1.177,1.171,1.173,1.177,1.171,1.170,1.170,1.170,1.171,1.177,1.171,1.171,1.173,1.173
35.00,1.169,1.173,1.170,1.177,1.171,1.173,1.177,1.170,1.170,1.170,1.170,1.171,1.177,1.171,1.170,1.173,1.173
40.00,1.169,1.172,1.170,1.177,1.170,1.173,1.177,1.170,1.170,1.170,1.170,1.171,1.177,1.170,1.170,1.173,1.172
45.00,1.168,1.172,1.170,1.177,1.170,1.172,1.177,1.170,1.170,1.170,1.170,1.171,1.177,1.170,1.170,1.172,1.172
50.00,1.168,1.172,1.170,1.177,1.169,1.172,1.177,1.169,1.170,1.170,1.170,1.171,1.177,1.169,1.169,1.172,1.172
55.00,1.168,1.171,1.170,1.177,1.169,1.172,1.178,1.169,1.170,1.170,1.170,1.171,1.177,1.169,1.169,1.172,1.171
60.00,1.168,1.171,1.170,1.178,1.169,1.171,1.178,1.169,1.170,1.170,1.170,1.172,1.178,1.169,1.169,1.171,1.171
65.00,1.168,1.171,1.170,1.178,1.168,1.171,1.178,1.168,1.170,1.170,1.170,1.172,1.178,1.168,1.168,1.171,1.171
70.00,1.168,1.171,1.171,1.178,1.168,1.171,1.178,1.168,1.170,1.171,1.170,1.172,1.178,1.168,1.168,1.171,1.171
75.00,1.168,1.170,1.171,1.178,1.168,1.170,1.178,1.168,1.171,1.171,1.171,1.172,1.178,1.168,1.168,1.170,1.170
80.00,1.168,1.170,1.171,1.179,1.167,1.170,1.179,1.167,1.171,1.171,1.171,1.172,1.179,1.167,1.167,1.170,1.170
85.00,1.168,1.170,1.171,1.179,1.167,1.170,1.179,1.167,1.171,1.171,1.171,1.172,1.179,1.167,1.167,1.170,1.170
90.00,1.168,1.170,1.172,1.179,1.167,1.170,1.179,1.167,1.171,1.172,1.171,1.173,1.179,1.167,1.167,1.170,1.170
95.00,1.168,1.169,1.172,1.180,1.167,1.169,1.180,1.167,1.172,1.172,1.172,1.173,1.180,1.167,1.167,1.169,1.169
100.0,1.168,1.169,1.172,1.180,1.166,1.169,1.180,1.166,1.172,1.172,1.172,1.174,1.180,1.166,1.166,1.169,1.169
105.0,1.168,1.169,1.173,1.181,1.166,1.169,1.181,1.166,1.173,1.173,1.173,1.174,1.181,1.166,1.166,1.169,1.169
110.0,1.168,1.169,1.174,1.181,1.166,1.169,1.181,1.166,1.174,1.174,1.174,1.175,1.181,1.166,1.166,1.169,1.169
115.0,1.169,1.169,1.174,1.182,1.166,1.169,1.182,1.166,1.174,1.174,1.174,1.176,1.182,1.166,1.166,1.169,1.169
120.0,1.169,1.169,1.175,1.183,1.167,1.169,1.183,1.167,1.175,1.175,1.175,1.176,1.183,1.167,1.167,1.169,1.169
125.0,1.170,1.170,1.176,1.184,1.167,1.170,1.184,1.167,1.176,1.176,1.176,1.177,1.184,1.167,1.167,1.170,1.170
130.0,1.171,1.170,1.178,1.185,1.167,1.170,1.185,1.167,1.177,1.178,1.177,1.179,1.185,1.167,1.167,1.170,1.170
135.0,1.172,1.171,1.179,1.186,1.168,1.171,1.187,1.168,1.179,1.179,1.179,1.180,1.186,1.168,1.168,1.171,1.171
140.0,1.173,1.172,1.181,1.188,1.169,1.172,1.188,1.169,1.181,1.181,1.181,1.182,1.188,1.169,1.169,1.172,1.172
145.0,1.175,1.173,1.183,1.190,1.171,1.173,1.190,1.171,1.183,1.183,1.183,1.184,1.190,1.171,1.171,1.173,1.173
150.0,1.177,1.175,1.185,1.192,1.173,1.175,1.193,1.173,1.185,1.185,1.185,1.186,1.192,1.173,1.173,1.175,1.175
155.0,1.180,1.178,1.188,1.195,1.175,1.178,1.195,1.175,1.188,1.188,1.188,1.189,1.195,1.175,1.175,1.178,1.178
